,State,2013_price,2018_price,5_year_change(%)
0,AK,278900.0,312100.0,11.903908210828254
1,AL,121600.0,140500.0,15.542763157894738
2,AR,111500.0,132500.0,18.83408071748879
3,AZ,168000.0,238450.0,41.93452380952381
4,CA,361300.0,564700.0,56.29670633822308
5,CO,225700.0,365800.0,62.07354895879485
6,CT,228300.0,248100.0,8.672798948751643
7,DC,497250.0,785750.0,58.019105077928614
8,DE,194900.0,234300.0,20.21549512570549
9,FL,137700.0,226100.0,64.19753086419753
10,GA,115500.0,159500.0,38.095238095238095
11,HI,498150.0,682450.0,36.99688848740339
12,IA,136750.0,163000.0,19.195612431444243
13,ID,141900.0,206850.0,45.77167019027485
14,IL,135400.0,163500.0,20.753323485967503
15,IN,99800.0,125150.0,25.400801603206414
16,KS,94700.0,114300.0,20.696937697993665
17,KY,112200.0,144000.0,28.342245989304814
18,LA,125100.0,142000.0,13.509192645883294
19,MA,282200.0,378200.0,34.01842664776754
20,MD,251100.0,310100.0,23.496614894464358
21,ME,180350.0,222950.0,23.620737454948713
22,MI,104600.0,150900.0,44.263862332695986
23,MN,153700.0,210100.0,36.694860117111254
24,MO,121600.0,147800.0,21.546052631578945
25,MS,92400.0,104000.0,12.554112554112553
26,MT,185600.0,226500.0,22.036637931034484
27,NC,129900.0,162900.0,25.40415704387991
28,ND,133900.0,191600.0,43.09185959671397
29,NE,124500.0,160900.0,29.23694779116466
30,NH,196000.0,248900.0,26.98979591836735
31,NJ,274900.0,336550.0,22.42633684976355
32,NM,159200.0,189150.0,18.812814070351756
33,NV,170000.0,287600.0,69.17647058823529
34,NY,175900.0,205800.0,16.998294485503127
35,OH,105450.0,130950.0,24.182076813655762
36,OK,81200.0,100900.0,24.261083743842367
37,OR,190750.0,298350.0,56.4089121887287
38,PA,138700.0,158200.0,14.059120403749098
39,RI,220400.0,276100.0,25.272232304900182
40,SC,118650.0,147850.0,24.610198061525494
41,SD,148900.0,196100.0,31.69912693082606
42,TN,90750.0,127250.0,40.22038567493113
43,TX,116300.0,163800.0,40.84264832330181
44,UT,198000.0,291500.0,47.22222222222222
45,VA,191700.0,226200.0,17.996870109546165
46,VT,184300.0,203400.0,10.363537710255018
47,WA,213600.0,333800.0,56.27340823970037
48,WI,147800.0,182150.0,23.24086603518268
49,WV,100300.0,116250.0,15.902293120638086
50,WY,181800.0,221700.0,21.947194719471945
